rip_geog,ateco2007,forma_giu,anno,unit_loc,gruppo,PER_tot,PER_dir,PER_qua,PER_imp,PER_ope,DIP_dic13,PER_indet,PER_deter,PER_appre,PER_chiam,DIP_TemPar_tot,DIP_TemPar_indet,DIP_TemPar_term,ORE14,FAT14
1,Commercio all'ingrosso di medicinali,13,1999,0,2,802,48,198,556,0,629,786,16,0,0,4,4,0,968313,506310825
2,Trasporto di merci su strada,13,1969,21,2,800,29,71,434,266,876,748,52,0,0,54,51,3,1200845,317709291
1,Altri servizi di supporto alle imprese nca,13,2005,4,2,790,0,1,20,769,619,60,1,0,729,41,40,1,239707,11312741
2,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,13,1988,5,3,781,37,34,208,502,816,778,3,0,0,44,44,0,1194926,157500000
2,Fabbricazione di altre pompe e compressori,13,2001,18,2,780,7,11,228,534,821,763,13,4,0,27,27,0,1298340,256699118
2,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse pa",13,1990,14,1,778,11,45,399,323,715,710,19,49,0,40,37,3,1288987,180430904
2,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",13,1982,26,1,774,34,27,174,539,779,698,75,1,0,148,101,47,969810,312311855
1,Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale,13,1917,5,2,772,45,214,382,131,773,772,0,0,0,54,54,0,1378600,440942498
2,Fabbricazione di altri rubinetti e valvole,13,1979,6,1,770,9,21,232,508,737,761,0,9,0,59,59,0,1216752,120732000
2,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco",13,1988,31,1,765,7,30,425,303,754,704,60,1,0,37,35,2,1305662,1305555531
2,Trasporto di merci su strada,13,1979,59,3,763,21,65,672,5,776,664,99,0,0,66,53,13,976640,1135930434
